Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
 ; ; ;.   Outras obrigações; ;2.686.592,09;2.615.397,60; ;Marg Contrib.; ;2.939.639,88;3.188.084,72; ; ;
 ; ; ;.   Provisões Sociais; ;1.536.179,12;1.369.445,23; ;Desp. Fixas; ;2.113.565,92;2.245.672,71; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Ebitida; ;826.073,96;942.412,01; ; ;
 ; ; ; ; ; ; ; ;Resultado Financeiro; ;25.795,83;33.563,26; ; ;
 ; ; ;NÃO CIRCULANTE; ;1.340.924,66;1.340.924,66; ;Depreciação; ;93.209,25;96.294,21; ; ;
 ; ; ;.   Financiamentos; ;1.340.924,66;1.340.924,66; ;IRPJ/CSLL; ;56.057,30;57.827,53; ; ;
 ; ; ;.   Provisões Fiscais; ;0,00;0,00; ;Lucro Op. Liquido; ;651.011,58;754.727,01; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;PATRIMÔNIO LÍQUIDO; ;11.039.584,60;10.957.762,10; ; ; ; ; ; ; ;
 ; ; ;.   Capital Social Integralizado; ;1.050.000,00;1.050.000,00; ; ; ; ; ; ; ;
 ; ; ;.   Reservas de Lucros; ;2.677.379,44;2.677.379,44; ; ; ; ; ; ; ;
 ; ; ;.      Reservas de Capitais; ;8.914.079,67;8.914.079,67; ; ; ; ; ; ; ;
 ; ; ;.   Resultado do Exercício Corrente; ;343.391,89;185.384,22; ; ; ; ; ; ; ;
 ; ; ;.   ( - ) Dividendos Distribuidos; ;-1.945.266,40;-1.869.081,23; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ;TOTAL DO PASSIVO E PATRIMÔNIO LIQUIDO; ;29.453.655,26;30.498.063,98; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ;ATIVO OPERACIONAL;PASSIVO OPERACIONAL; ; ; ; ; ; ; ;
 ; ; ; ; ;22.225.216,02;15.165.776,89; ; ; ; ; ; ; ;
 ; ; ; ; ;20.976.545,03;15.128.654,37; ; ; ; ; ; ; ;
 ; ; ; ; ;22.196.178,77;15.010.109,65; ; ; ; ; ; ; ;
 ; ; ; ; ;29.147.620,39;10.921.199,34; ; ; ; ; ; ; ;
