Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mar/24; ;Fev/25; ;Mar/25; ; ; ;Mar/25; ;Mar/25;;Mar/25; ;
 ;RESULTADO LIQUIDO;601.408,20;4,87%;544.984,42;4,42%;753.942,60;5,47%;208.958,18;38,3%;753.942,60;5,47%;257.127,93;0,6565;716.340,47;5,20%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;231.222,65;1,87%;328.408,44;2,66%;372.065,23;2,70%;-43.656,79;13,29%; ; ;88.202,00;0,2252;165.537,18; ;
 ;PRO LABORE TUBERTINO;60.560,62;0,49%;40.128,90;0,33%;36.766,88;0,27;-3.362,02;9,14%; ; ;15.000,00;0,0383;51.766,88; ;
 ;PRO LABORE DIEGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;25.000,00;0,0638;25.000,00; ;
 ;PRO LABORE THIAGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;24.101,00;0,0615;24.101,00; ;
 ;PRO LABORE PATRICIA;21.844,30;0,18%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;137.130,46; ;24.101,00;0,0615;24.101,00; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;32.766,99;0,27%;39.158,69;0,28%;6.391,70;-16,32%;1.626.480,66; ;0,00;0;39.158,69; ;
 ;TOTAL;1.491,21;0,01%;-700,00;-0,01%;1.409,61;0,01%;2.109,61;-149,66%;1.489.350,20; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;7.510,07;0,06%;304,79;0,00%;5.280,32;0,04%;4.975,53;-94,23%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;6.018,86;0,05%;1.004,79;0,01%;3.870,71;0,01%;2.865,92;-74,04%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);147.326,52;1,19%;256.212,55;2,08%;294.730,05;2,39%;38.517,50;15,03%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;370.185,55;3,00%;216.575,98;1,76%;381.877,37;2,77%; ; ; ; ;168.925,93;0,4313;550.803,29;4,00%;
 ;EMPRESTIMOS E FINANCIAMENTOS;188.126,69;1,52%;200.969,72;1,63%;205.082,78;1,49%; ; ; ; ;1.660,32;;206.743,10; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;182.058,86;1,48%;15.606,26;0,13%;176.794,59;1,28%; ; ; ; ;167.265,61;;344.060,19; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.853.763,76;78,75%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.109.366,27; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.490.970,77; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;213.846,06; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;171.501,22; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;14.426,82; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.861.891,23; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
