Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Mai/25; ;Abr/26; ;Mai/26; ; ; ;Mai/26; ;Mai/26;;Mai/26; ;
 ;PRO LABORE DIEGO;635,10;0,00%;300,85;0,00%;2.620,85;0,02%;2.320,00;-88,52%; ; ;46.295,60;0;48.916,45; ;
 ;PRO LABORE THIAGO;200,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;45.261,76;0;45.261,76; ;
 ;PRO LABORE PATRICIA;50.311,26;0,37%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;0,00; ;45.261,76;0;45.261,76; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;4.134,35;0,03%;4.075,28;0,03%;-59,07;1,45%;1.603.482,28; ;0,00;0;4.075,28; ;
 ;TOTAL;2.368,83;0,02%;2.662,79;0,02%;-3.894,08;-0,03%;-6.556,87;-168,38%;1.603.482,28; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;6.551,16;0,05%;3.894,08;0,03%;1.340,49;0,01%;-2.553,59;190,50%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;4.182,33;0,03%;1.231,29;0,01%;5.234,57;0,01%;4.003,28;-76,48%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);292.215,96;2,13%;313.977,61;2,28%;0,00;0,00%;-313.977,61;-100,00%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;376.470,15;2,75%;231.395,16;1,68%;1.034.790,75;7,53%; ; ; ; ;-305.534,63;0;729.256,12;5,31%;
 ;EMPRESTIMOS E FINANCIAMENTOS;206.829,63;1,51%;76.296,38;0,55%;77.921,48;0,57%; ; ; ; ;3.845,92;;81.767,40; ;
