Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Jun/24; ;Mai/25; ;Jun/25; ; ; ;Jun/25; ;Jun/25;;Jun/25; ;
 ;PRO LABORE PATRICIA;40.286,82;0,31%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;9.350,00; ;35.947,80;0,0918;35.947,80; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;50.311,26;0,37%;55.347,02;0,40%;5.035,76;-9,10%;1.656.162,97; ;0,00;0;55.347,02; ;
 ;TOTAL;-18.671,75;-0,14%;2.368,83;0,02%;1.430,00;0,01%;-938,83;65,65%;1.646.812,97; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;5.645,31;0,04%;6.551,16;0,05%;2.954,75;0,02%;-3.596,41;121,72%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;24.317,06;0,19%;4.182,33;0,03%;1.524,75;0,03%;-2.657,58;174,30%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);203.805,61;1,56%;292.215,96;2,14%;294.439,00;2,16%;2.223,04;0,76%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;501.724,71;3,85%;373.777,40;2,74%;244.738,98;1,78%; ; ; ; ;188.101,44;0,4806;432.840,42;3,15%;
 ;EMPRESTIMOS E FINANCIAMENTOS;188.120,72;1,44%;206.829,63;1,52%;207.870,78;1,51%; ; ; ; ;1.490,27;;209.361,05; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;313.603,99;2,40%;166.947,77;1,22%;36.868,20;0,27%; ; ; ; ;186.611,17;;223.479,37; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.832.344,24;78,72%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;3.914.601,33; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.281.286,89; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;215.551,03; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;170.736,00; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;16.697,28; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.650.876,64; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
