Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Nov/24; ;Out/25; ;Nov/25; ; ; ;Nov/25; ;Nov/25;;Nov/25; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;4.787,10;0,03%;1.872,42;0,01%;2.988,49;0,02%;1.116,07;-37,35%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;2.881,90;0,02%;1.872,42;0,01%;2.988,49;0,01%;1.116,07;-37,35%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);274.168,13;1,98%;323.599,86;2,29%;307.821,21;2,18%;-15.778,65;-4,88%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;-57.184,56;-0,41%;685.905,12;4,85%;-87.358,33;-0,64%; ; ; ; ;187.958,85;0,4663;100.653,38;0,74%;
 ;EMPRESTIMOS E FINANCIAMENTOS;196.229,44;1,42%;214.583,88;1,52%;216.620,03;1,60%; ; ; ; ;2.353,95;;218.973,98; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;-253.414,00;-1,83%;471.321,24;3,34%;-303.978,36;-2,24%; ; ; ; ;185.604,90;;-118.320,60; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;11.029.364,28;81,42%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;3.748.491,48; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.108.520,42; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;210.038,31; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;173.814,65; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;18.449,37; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.473.924,02; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
