Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Abr/24; ;Mar/25; ;Abr/25; ; ; ;Abr/25; ;Abr/25;;Abr/25; ;
 ;( - ) Depreciação / Amortização;81.971,99;0,70%;96.474,63;0,70%;93.335,68;0,70%;-3.138,95;-3,3%;93.335,68;0,70%;2.671,40;0,007;96.007,08; ;
 ;EBIT;550.892,71;4,70%;845.333,39;6,13%;732.546,59;5,49%;-112.786,79;-13,3%;732.546,59;5,49%;368.486,53;0,9656;817.756,00;6,14%;
 ;( - ) Resultado Financeiro;87.367,74;0,75%;33.563,26;0,24%;25.795,83;0,00%;-7.767,43;-23,1%;25.795,83;0,19%;1.477,31;0,0039;27.273,14; ;
 ;RESULTADO DO PERIODO;463.524,97;3,96%;811.770,13;5,89%;706.750,76;5,30%;-105.019,36;-12,9%;706.750,76;5,30%;367.009,22;0,9617;790.482,86;5,93%;
 ;( - ) IRPJ / CSLL;46.280,00;0,40%;57.827,53;0,42%;56.057,30;0,42%;-1.770,23;-3,1%;56.057,30;0,42%;49.592,53;0,1299;105.649,83; ;
 ;RESULTADO LIQUIDO;417.244,97;3,56%;753.942,60;5,47%;650.693,46;4,88%;-103.249,13;-13,7%;650.693,46;4,88%;317.416,69;0,8317;684.833,03;5,14%;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;DESPESAS NÃO OPERACIONAIS;208.050,86;1,78%;372.065,23;2,70%;360.411,87;2,70%;11.653,36;-3,13%; ; ;167.202,00;0,4381;244.336,75; ;
 ;PRO LABORE TUBERTINO;37.940,28;0,32%;36.766,88;0,27%;45.802,33;0,34;9.035,45;-19,73%; ; ;13.000,00;0,0341;58.802,33; ;
 ;PRO LABORE DIEGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;100.000,00;0,262;100.000,00; ;
 ;PRO LABORE THIAGO;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;-100,00%; ; ;27.101,00;0,071;27.101,00; ;
 ;PRO LABORE PATRICIA;40.062,40;0,34%;0,00;0,00%;0,00;0,00%;0,00;-100,00%;118.831,04; ;27.101,00;0,071;27.101,00; ;
 ;PRO LABORE EMPRESA;0,00;0,00%;39.158,69;0,28%;30.382,84;0,23%;-8.775,85;28,88%;1.678.957,88; ;0,00;0;30.382,84; ;
 ;TOTAL;-721,26;-0,01%;1.409,61;0,01%;949,58;0,01%;-460,03;48,45%;1.560.126,84; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( + ) ENTRADAS;4.334,20;0,04%;5.280,32;0,04%;1.819,27;0,01%;-3.461,05;190,24%; ; ; ;; ; ;
 ;CHEQUES DEVOLVIDOS - ( - ) RECEBIDOS;5.055,46;0,04%;3.870,71;0,03%;869,69;0,03%;-3.001,02;345,07%; ; ; ;; ; ;
 ;INVESTIMENTOS REALIZADOS; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;ALUGUÉIS (HOLDING);130.769,44;1,12%;294.730,05;2,14%;283.277,12;2,06%;-11.452,93;-3,89%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;209.194,11;1,79%;381.877,37;2,77%;290.281,59;2,18%; ; ; ; ;150.214,69;0,3936;440.496,28;3,31%;
 ;EMPRESTIMOS E FINANCIAMENTOS;184.892,26;1,58%;205.082,78;1,49%;202.595,42;1,52%; ; ; ; ;1.346,15;;203.941,57; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;24.301,85;0,21%;176.794,59;1,28%;87.686,17;0,66%; ; ; ; ;148.868,54;;236.554,71; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;10.489.643,96;78,67%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;3.876.407,69; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.289.205,34; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;200.912,51; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;163.143,08; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;18.075,76; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;3.635.185,17; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
