Controladoria - D.R.E - Resultado Geral Da Empresa 2;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;;;;;;
0000000000000000000010Arial>;D.R.E;Ano Anterior;A.V;Periodo Anterior;A.V;Periodo Atual;A.V;A.H;A.H.;Varejo;A.V.;SENA;;EMPRESA;A.V;
 ; ;Dez/24; ;Nov/25; ;Dez/25; ; ; ;Dez/25; ;Dez/25;;Dez/25; ;
 ;ALUGUÉIS (HOLDING);311.630,82;2,05%;307.821,21;2,27%;362.714,80;2,68%;54.893,59;17,83%; ; ; ;; ; ;
 ;RESULTADO  - LUCRO LIQUIDO;662.870,55;4,36%;-87.358,33;-0,64%;133.656,94;0,86%; ; ; ; ;127.140,29;0,2819;260.797,23;1,68%;
 ;EMPRESTIMOS E FINANCIAMENTOS;198.652,22;1,31%;216.620,03;1,60%;218.567,41;1,40%; ; ; ; ;3.062,62;;221.630,03; ;
 ;RESULTADO  - APÓS PGTO EMPRESTIMOS;464.218,33;3,05%;-303.978,36;-2,24%;-84.910,47;-0,54%; ; ; ; ;124.077,67;;39.167,20; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV FINANCEIRO; ; ;11.914.006,16;76,46%; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Venda Total;4.394.628,15; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto menos 55/80;3.644.137,50; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 80;243.345,54; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Dpto 55;196.347,85; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;CMV Devol;22.843,72; ; ; ; ; ; ; ; ; ; ;; ; ;
 ;Margem Liquida;4.060.987,18; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
 ; ; ; ; ; ; ; ; ; ; ; ; ;; ; ;
