Financeiro - Controladoria Financeira- Guia Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112254/CDL- Câmara de Dirigentes Lojistas;200,00;112326/Debito - Visa Electron;27409,72;
 ; ; ; ; ; ; ;112255/Tejotão Card 10;48.492,34;112327/ Debito - Alelo Refeição;176,84;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;6.752,35;112329/Debito - VR Ali;650,55;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;13.099,98;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;23.028,66;112350/Credito -AMEX;1912,33;
 ; ; ; ; ; ; ;112260/Rede Orto;573,98;112351/Credito - Hipercard;0;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;121.422,22;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;137.510,80;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;493.653,02;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.478.785,99;112357/Credito - Elo;23644,89;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;141,39;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;273.767,52;112361/Credito - Mastercard;48383,36;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;14247,63;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;158.199,44;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;146,35;112375/Credito - Policard/Up Brasil;205,89;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;141,06;112379/Credito - Tricard;200,89;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;1.790.735,22;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;17.591,83;112381/Debito - Cabal;639,34;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;139.868,34;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;28.798,48;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;23.436,58;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
