Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Setembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112256/Tejotão Card 15;6.445,53;112329/Debito - VR Ali;704,18;
 ; ; ; ; ; ; ;112257/Verídiana de Aguia;0,00;112330/Debito - Sodexo Ref;0;
 ; ; ; ; ; ; ;112258/Café Tejota;3.646,24;112331/Débito - Sodexo Premium;0;
 ; ; ; ; ; ; ;112259/LF mecanização;65.944,38;112350/Credito -AMEX;2007,2;
 ; ; ; ; ; ; ;112260/Rede Orto;0,00;112351/Credito - Hipercard;70,72;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;168.485,50;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;159.269,74;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;538.571,65;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.744.403,17;112357/Credito - Elo;12481,19;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;255.937,30;112361/Credito - Mastercard;50171,59;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;11,47;112372/Credito - Visa;21690,59;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;132.709,43;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;108,57;112375/Credito - Policard/Up Brasil;877,58;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;0,00;112379/Credito - Tricard;0;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.122.444,21;112380/Debito -VR ref;0;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;28.801,63;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;147.391,04;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;29.317,90;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;26.237,89;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;522,76;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;212,98;112501/Cheque AV;11697,65;
 ; ; ; ; ; ; ;112357/Credito - Elo;456.402,40;112502/Cheque Pre;24478,51;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;3081,7;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;2252,75;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.800.444,02;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.748.167,77;112985/IRRF a Compensar;1966,85;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;64.302,53;127201/Partic em Outras Sociedades;150;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;60.943,84;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;51.502,62;211101/Fornec. p/ Revenda;10760556,54;
 ; ; ; ; ; ; ;112380/Debito -VR ref;20.234,38;211102/Fornec p/ Consumo;269866,01;
 ; ; ; ; ; ; ;112381/Debito - Cabal;10.992,70;211103/Fornec de Serviços;424943,81;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;148579,04;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;2853,98;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;0,00;211109/Fornecedor de Investimento;12424,73;
 ; ; ; ; ; ; ;112398/Pic Pay;1.386,54;211110/Fornec desp gerais;19526,25;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.665,74;211201/Obrig Imobilizado;140352,96;
 ; ; ; ; ; ; ;112501/Cheque AV;16.492,88;211301/Salários e Ordenado;510269,89;
 ; ; ; ; ; ; ;112502/Cheque Pre;117.083,31;211302/Férias a Pagar;110013,87;
 ; ; ; ; ; ; ;112503/Cheque devolvido;3.081,70;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;45.429,89;211304/Verbas Resc a Pagar;64386,28;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;6.744,16;211305/Sindicatos a Pagar;240,65;
 ; ; ; ; ; ; ;112703/Devolução RCM;52.794,01;211306/Pensão Alimentícia;2410,8;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;471,74;211307/Adiant a Func;233270,59;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;17.994,84;211309/Adto 13º Salário;2066,84;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;34724,52;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;144,73;211501/ICMS a Recolher;261285,21;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;217.115,15;211502/PIS a Recolher;33696,19;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;155381,96;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;367075,76;
 ; ; ; ; ; ; ;112801/Adto Funcionários;1.500,00;211505/FGTS a Pagar;82711,5;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;37092,33;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;4.599,61;211507/CSLL a Pagar;14073,24;
 ; ; ; ; ; ; ;112949/Outras CR;130,84;211508/IPTU a Pagar;11536,26;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;27.568,38;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;26075,1;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;8125,39;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;3800,11;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;4689,09;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;16309,12;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;13.694,27;211603/ISSQN a Recolher;487,98;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2081,14;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;6.608,43;211605/INSS Retido a Recolher;4883,95;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;14.588,75;211901/Devolução de Vendas a Pagar;15854,99;
 ; ; ; ; ; ; ;313101/Juros Recebidos;842,59;211902/Contra Vale a Pagar;939,75;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;4.000,62;211903/Adiant. de Clientes;96897,47;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;16.150,80;211905/Créd Trocas/Boni Inden;6961,18;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;33,93;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,00;211911/Corresp. Bancário;46710,32;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;523410,55;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;31.285,68;211914/Convênios Terceiros - Folha de Pagamento;51398,12;
 ; ; ; ; ; ; ;313208/Ganho Recarga;376,38;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;15264;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;1,21;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;2.938,51;211920/Adiant. a Fornecedor;41606,39;
 ; ; ; ; ; ; ;333101/Juros Pagos;4,53;211921/Bonificações a Apropriar;152172,21;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;1,87;211925/Acordos Comerciais a Apropriar;31285,68;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;181,83;211930/Depositos Judiciais de Terceiros a pagar;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;90234,23;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;72910,18;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;355;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;0;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;149086,51;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;84914,83;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;0;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;872,33;
 ; ; ; ; ; ; ; ; ;332707/Doações;2798,07;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;0,99;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;445,15;
 ; ; ; ; ; ; ; ; ;333107/IOF;3693,4;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2423,69;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;156687,07;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;6,76;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;2307,03;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;21197,31;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;72;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;21,8;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;17978,65;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;4,5;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;567,02;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;37,96;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;4,2;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;111,3;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;627,68;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;1049,54;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;0;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;233,17;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;251,06;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;91,55;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;0;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;0;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;1,51;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;308391,69;
 ; ; ; ; ; ; ; ; ; ;15145792,5;
 ; ; ; ; ; ; ; ; ; ;231683,5;
 ; ; ; ; ; ; ; ; ; ;0;
 ; ; ; ; ; ; ; ; ; ;15685867,69;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
