Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Julho/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;23.891,22;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;163.960,79;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;45.537,32;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;25.646,79;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;292,39;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;217,00;112501/Cheque AV;13502,51;
 ; ; ; ; ; ; ;112357/Credito - Elo;428.959,66;112502/Cheque Pre;52062,38;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;2470,05;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;15771,98;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.775.034,91;112707/Creditos Trocas em Cobrança;3369,2;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.743.530,78;112985/IRRF a Compensar;3427,78;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;40.050,21;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;57.353,04;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;53.772,07;211101/Fornec. p/ Revenda;12615808,96;
 ; ; ; ; ; ; ;112380/Debito -VR ref;22.771,96;211102/Fornec p/ Consumo;178933,23;
 ; ; ; ; ; ; ;112381/Debito - Cabal;8.661,92;211103/Fornec de Serviços;402867,53;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;149849,66;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;2816,99;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;103,91;211109/Fornecedor de Investimento;6144,63;
 ; ; ; ; ; ; ;112398/Pic Pay;1.433,66;211110/Fornec desp gerais;17433,75;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.834,30;211201/Obrig Imobilizado;222649,71;
 ; ; ; ; ; ; ;112501/Cheque AV;14.302,31;211301/Salários e Ordenado;512775,53;
 ; ; ; ; ; ; ;112502/Cheque Pre;121.915,73;211302/Férias a Pagar;96709,26;
 ; ; ; ; ; ; ;112503/Cheque devolvido;795,28;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;63.403,76;211304/Verbas Resc a Pagar;31973,57;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;51.513,03;211305/Sindicatos a Pagar;206,43;
 ; ; ; ; ; ; ;112703/Devolução RCM;59.085,15;211306/Pensão Alimentícia;2410,8;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;172,95;211307/Adiant a Func;208860,63;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;45.292,78;211309/Adto 13º Salário;1877,66;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;22523,95;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;232513,08;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;145.124,24;211502/PIS a Recolher;24697,07;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;113837,65;
