Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Junho/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112302/Debito-Alelo Ali;132.897,34;112352/Credito - Cabal;0;
 ; ; ; ; ; ; ;112303/Debito - Cabal-voucher;148.516,51;112353/Credito-GoodCard;0;
 ; ; ; ; ; ; ;112308/Debito-Elo;603.572,69;112355/Credito - ECX Card;0;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.773.837,32;112357/Credito - Elo;15387,43;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;400;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;288.318,47;112361/Credito - Mastercard;26662,62;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;17894,08;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;157.574,47;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;0,00;112375/Credito - Policard/Up Brasil;370,86;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;48,08;112379/Credito - Tricard;148,41;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.202.039,01;112380/Debito -VR ref;671,77;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;21.707,15;112381/Debito - Cabal;729,64;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;185.939,66;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;20.903,29;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;25.579,20;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;0,00;112501/Cheque AV;15526,69;
 ; ; ; ; ; ; ;112357/Credito - Elo;458.911,50;112502/Cheque Pre;16301,48;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;51.372,34;112503/Cheque devolvido;3591,46;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;4052,61;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.675.418,84;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.676.859,42;112985/IRRF a Compensar;284,93;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;42.234,69;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;49.565,75;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;51.922,63;211101/Fornec. p/ Revenda;11285390,1;
 ; ; ; ; ; ; ;112380/Debito -VR ref;13.032,53;211102/Fornec p/ Consumo;208945,2;
 ; ; ; ; ; ; ;112381/Debito - Cabal;15.148,26;211103/Fornec de Serviços;366995,72;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;212059,15;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;110,95;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;172,72;211109/Fornecedor de Investimento;28229,16;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211110/Fornec desp gerais;6452;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.650,13;211201/Obrig Imobilizado;418180,04;
 ; ; ; ; ; ; ;112501/Cheque AV;18.723,50;211301/Salários e Ordenado;535657,97;
 ; ; ; ; ; ; ;112502/Cheque Pre;119.324,74;211302/Férias a Pagar;35147,88;
 ; ; ; ; ; ; ;112503/Cheque devolvido;1.988,86;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;68.315,09;211304/Verbas Resc a Pagar;53409,2;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;10.882,95;211305/Sindicatos a Pagar;248,04;
 ; ; ; ; ; ; ;112703/Devolução RCM;43.310,22;211306/Pensão Alimentícia;2519,95;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;417,55;211307/Adiant a Func;277294,38;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;18.036,66;211309/Adto 13º Salário;4061,22;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;85256,98;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;258707,29;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;183.101,55;211502/PIS a Recolher;30771,81;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;141836,99;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;395498,3;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211505/FGTS a Pagar;88483,19;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;43939,08;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;4.705,21;211507/CSLL a Pagar;16538,07;
 ; ; ; ; ; ; ;112949/Outras CR;121,91;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
 ; ; ; ; ; ; ;112953/Adto Clientes;28.757,29;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;13462,04;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;18999,6;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;4665,06;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;4931,7;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;10631,8;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;78.977,92;211603/ISSQN a Recolher;692,7;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2595,27;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;0,00;211605/INSS Retido a Recolher;2945,91;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;6.152,76;211901/Devolução de Vendas a Pagar;16703,83;
 ; ; ; ; ; ; ;313101/Juros Recebidos;401,35;211902/Contra Vale a Pagar;243;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;4.614,88;211903/Adiant. de Clientes;23530,4;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;1.062,67;211905/Créd Trocas/Boni Inden;1800,93;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;28,08;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;1,20;211911/Corresp. Bancário;37924,6;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;415309,9;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;39.292,17;211914/Convênios Terceiros - Folha de Pagamento;50194,58;
 ; ; ; ; ; ; ;313208/Ganho Recarga;298,98;211915/Vale - Cesta Alimentação;421,16;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;12362;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,00;211917/Vale Cesta - Consolidado;12806,88;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;1.566,76;211920/Adiant. a Fornecedor;43839,83;
