Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Fevereiro/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;210,32;112501/Cheque AV;11562,72;
 ; ; ; ; ; ; ;112357/Credito - Elo;434.748,90;112502/Cheque Pre;27928,55;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;12.027,03;112503/Cheque devolvido;9258,96;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;508,68;112703/ Devolução de Mercadoria a Receber - RCM;6415,8;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.320.262,60;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.399.836,07;112985/IRRF a Compensar;2526,64;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;42.675,03;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;48.454,65;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;41.604,42;211101/Fornec. p/ Revenda;9894884,85;
 ; ; ; ; ; ; ;112380/Debito -VR ref;16.706,00;211102/Fornec p/ Consumo;125468,5;
 ; ; ; ; ; ; ;112381/Debito - Cabal;8.882,59;211103/Fornec de Serviços;354047,11;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;186283,94;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;29;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;73,74;211109/Fornecedor de Investimento;16898,7;
 ; ; ; ; ; ; ;112398/Pic Pay;0,00;211110/Fornec desp gerais;12260,8;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;4.330,61;211201/Obrig Imobilizado;136920,03;
 ; ; ; ; ; ; ;112501/Cheque AV;19.101,00;211301/Salários e Ordenado;508953,08;
 ; ; ; ; ; ; ;112502/Cheque Pre;116.295,51;211302/Férias a Pagar;57408,37;
 ; ; ; ; ; ; ;112503/Cheque devolvido;2.552,31;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;29.797,46;211304/Verbas Resc a Pagar;54660,32;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;77.684,56;211305/Sindicatos a Pagar;224,91;
 ; ; ; ; ; ; ;112703/Devolução RCM;32.164,07;211306/Pensão Alimentícia;2519,95;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;232,34;211307/Adiant a Func;232682,71;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;35.227,54;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;64863,35;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;223048,4;
