Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112801/Adto Funcionários;700,00;211505/FGTS a Pagar;85012,24;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;43642,33;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;3.829,09;211507/CSLL a Pagar;16431,24;
 ; ; ; ; ; ; ;112949/Outras CR;114,69;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;5624,16;
 ; ; ; ; ; ; ;112953/Adto Clientes;23.988,25;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;3725,32;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;8172,85;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;14,06;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;5043,59;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;15364,57;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;42.731,79;211603/ISSQN a Recolher;487,98;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2723,88;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;0,00;211605/INSS Retido a Recolher;2683,95;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;8.369,68;211901/Devolução de Vendas a Pagar;22209,83;
 ; ; ; ; ; ; ;313101/Juros Recebidos;776,25;211902/Contra Vale a Pagar;251,8;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;3.841,45;211903/Adiant. de Clientes;50287,47;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;14,75;211905/Créd Trocas/Boni Inden;6281,3;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;26,91;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;1,66;211911/Corresp. Bancário;34709,52;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;89117,3;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;24.507,43;211914/Convênios Terceiros - Folha de Pagamento;43297,94;
 ; ; ; ; ; ; ;313208/Ganho Recarga;286,09;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;11786;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,00;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;494,10;211920/Adiant. a Fornecedor;45022,96;
 ; ; ; ; ; ; ;333101/Juros Pagos;0,00;211921/Bonificações a Apropriar;5324,58;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;24507,43;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;3.016,76;211930/Depositos Judiciais de Terceiros a pagar;373,55;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;40,78;211940/Distrib de Lucro Sócios;24546,51;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;42005,05;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;0;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;17944,85;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;0;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;84666,08;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;14,59;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;2267,23;
 ; ; ; ; ; ; ; ; ;332707/Doações;2725,06;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;635,22;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;66,55;
 ; ; ; ; ; ; ; ; ;333107/IOF;474,57;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;3199,56;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;140285,15;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;1,95;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;2361,11;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;8369,7;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;136,8;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;63,99;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;1394,66;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;8,1;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;924,72;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;37,96;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;2884,41;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;4,05;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;698,78;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333145/Tarifa -Tricard Hibrido;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;800,6;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;0;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;21,8;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;210,12;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;276,6;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;0;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;0;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;100;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;256071,5;
 ; ; ; ; ; ; ; ; ; ;14041235,7;
 ; ; ; ; ; ; ; ; ; ;200556,9;
 ; ; ; ; ; ; ; ; ; ;18661,54;
 ; ; ; ; ; ; ; ; ; ;14497864,1;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
