Financeiro - Controladoria Financeira- Tejotão;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Agosto/2026;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112333/Pluxee Refeição Auxilio (AA);3.428,90;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112334/Pluxee Gift/Premium Auxilio (AA);1.538,63;112501/Cheque AV;14498,65;
 ; ; ; ; ; ; ;112335/VR Alimentação Auxilio (AA);121.368,66;112502/Cheque Pre;6440,36;
 ; ; ; ; ; ; ;112336/VR Refeição Auxilio (AA);2.445,15;112503/Cheque devolvido;2181,96;
 ; ; ; ; ; ; ;112337/Alelo Refeição Auxilio (AA);5.180,56;112703/ Devolução de Mercadoria a Receber - RCM;4530,24;
 ; ; ; ; ; ; ;112338/Alelo Alimentação Auxilio (AA);46.465,43;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;31.514,37;112985/IRRF a Compensar;291,8;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112352/Credito - Cabal;0,00;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;0,00;211101/Fornec. p/ Revenda;12355349,59;
 ; ; ; ; ; ; ;112357/Credito - Elo;519.635,96;211102/Fornec p/ Consumo;309757,76;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;57.054,19;211103/Fornec de Serviços;462374,6;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;211104/Faturas a Pagar;221777,82;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;3.033.082,27;211105/Fretes a Pagar;44,34;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.882.071,09;211109/Fornecedor de Investimento;17738,99;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;42.625,30;211110/Fornec desp gerais;9136,25;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;59.069,53;211201/Obrig Imobilizado;104466,64;
 ; ; ; ; ; ; ;112379/Credito - Tricard;61.919,11;211301/Salários e Ordenado;598970,27;
 ; ; ; ; ; ; ;112380/Debito -VR ref;14.981,39;211302/Férias a Pagar;62331,07;
 ; ; ; ; ; ; ;112381/Debito - Cabal;10.733,77;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211304/Verbas Resc a Pagar;76816,79;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211305/Sindicatos a Pagar;273,02;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;93,31;211306/Pensão Alimentícia;2519,95;
