Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Março/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112312/Debito - Maestro;1.722.322,92;112357/Credito - Elo;9412,49;
 ; ; ; ; ; ; ;112311/Devedores Duvidosos;0,00;112358/Debito - Elo Voucher;0;
 ; ; ; ; ; ; ;112319/Debito - Sodexo - Alimentação;245.847,41;112361/Credito - Mastercard;42474,49;
 ; ; ; ; ; ; ;112320/Debito - Sodexo - Gift;0,00;112372/Credito - Visa;22931,72;
 ; ; ; ; ; ; ;112321/Debito - Ticket Alim;119.148,63;112373/Credito - Vale Card;0;
 ; ; ; ; ; ; ;112322/Debito - Ticket Restaurante;51,48;112375/Credito - Policard/Up Brasil;1700,41;
 ; ; ; ; ; ; ;112323/Debito - Ticket Flex;0,00;112379/Credito - Tricard;0;
 ; ; ; ; ; ; ;112326/Debito - Visa Electron;2.055.134,69;112380/Debito -VR ref;44,46;
 ; ; ; ; ; ; ;112327/Debito - Alelo Refeição;35.239,02;112381/Debito - Cabal;0;
 ; ; ; ; ; ; ;112329/Debito - VR Alimentação;153.632,69;112382/Debito- Ben Vale Refeição;0;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;31.330,33;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;28.857,86;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;22,52;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;218,63;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;200,14;112501/Cheque AV;8877,26;
 ; ; ; ; ; ; ;112357/Credito - Elo;370.900,19;112502/Cheque Pre;22497,16;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;5090,89;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;12042,3;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.606.797,61;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.552.365,55;112985/IRRF a Compensar;3070,22;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;39.279,20;127201/Partic em Outras Sociedades;100;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;61.030,70;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;60.492,42;211101/Fornec. p/ Revenda;10468795,45;
 ; ; ; ; ; ; ;112380/Debito -VR ref;18.904,24;211102/Fornec p/ Consumo;240361,13;
 ; ; ; ; ; ; ;112381/Debito - Cabal;9.546,07;211103/Fornec de Serviços;337392;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;303,73;211104/Faturas a Pagar;159881,46;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;303,97;211105/Fretes a Pagar;11883,78;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;1.668,12;211109/Fornecedor de Investimento;756,6;
 ; ; ; ; ; ; ;112398/Pic Pay;1.155,87;211110/Fornec desp gerais;18108,85;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.984,55;211201/Obrig Imobilizado;66173,37;
 ; ; ; ; ; ; ;112501/Cheque AV;17.839,83;211301/Salários e Ordenado;521088,91;
 ; ; ; ; ; ; ;112502/Cheque Pre;131.101,11;211302/Férias a Pagar;44440;
 ; ; ; ; ; ; ;112503/Cheque devolvido;3.681,28;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;44.401,26;211304/Verbas Resc a Pagar;70941,77;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;10.917,69;211305/Sindicatos a Pagar;168,88;
 ; ; ; ; ; ; ;112703/Devolução RCM;64.455,17;211306/Pensão Alimentícia;3018;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;935,25;211307/Adiant a Func;226512,29;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;36.586,28;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;0;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;1.408,88;211501/ICMS a Recolher;217584,5;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;7.474,46;211502/PIS a Recolher;22077,11;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;101926,31;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;342626,62;
 ; ; ; ; ; ; ;112801/Adto Funcionários;700,00;211505/FGTS a Pagar;74690,51;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;31139,08;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;3.929,85;211507/CSLL a Pagar;11930,07;
 ; ; ; ; ; ; ;112949/Outras CR;0,00;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;6771,48;
 ; ; ; ; ; ; ;112953/Adto Clientes;19.336,31;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;27471,14;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;9398,9;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;182,85;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;3740,15;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;11843,87;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;38.897,74;211603/ISSQN a Recolher;464,55;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;3292,29;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;11.233,12;211605/INSS Retido a Recolher;2555,16;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;17.814,06;211901/Devolução de Vendas a Pagar;11216,77;
 ; ; ; ; ; ; ;313101/Juros Recebidos;1.293,12;211902/Contra Vale a Pagar;191,3;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;6.055,19;211903/Adiant. de Clientes;8613,32;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;13.156,25;211905/Créd Trocas/Boni Inden;19138,76;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;36,66;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,60;211911/Corresp. Bancário;47813,11;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;369,00;211913/Alugueis a Pagar;409393,55;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;9.411,76;211914/Convênios Terceiros - Folha de Pagamento;50838,77;
 ; ; ; ; ; ; ;313208/Ganho Recarga;486,65;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;14827;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;16,13;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;0,00;211920/Adiant. a Fornecedor;38974,14;
 ; ; ; ; ; ; ;333101/Juros Pagos;4,61;211921/Bonificações a Apropriar;10150,14;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;9411,76;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;211930/Depositos Judiciais de Terceiros a pagar;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;75925,57;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;23179,25;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;0;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;0;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;149086,51;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;85043,45;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;1,2;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;0,01;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;1026,96;
 ; ; ; ; ; ; ; ; ;332707/Doações;1860,49;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;1,19;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;925,41;
 ; ; ; ; ; ; ; ; ;333107/IOF;2716,04;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;2824,97;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;146440,54;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;4,07;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;2110,28;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;29047,17;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;60,3;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;20,08;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;1139,6;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;3,6;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;175,76;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;35,74;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;4,05;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;558,5;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;446,1;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;1937,74;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;40,16;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;246,98;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;81,65;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;10,6;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;22,5;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;0,72;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;314377,72;
 ; ; ; ; ; ; ; ; ; ;13984249;
 ; ; ; ; ; ; ; ; ; ;198520,89;
 ; ; ; ; ; ; ; ; ; ;0;
 ; ; ; ; ; ; ; ; ; ;14497147,61;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
