Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Maio/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;34875,84;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;211930/Depositos Judiciais de Terceiros a pagar;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;89765,73;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;24987,65;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;0;
 ; ; ; ; ; ; ; ; ;211948/Outras Contas a pagar - I;0;
 ; ; ; ; ; ; ; ; ;211949/Outras CP - Fornecedores;0;
 ; ; ; ; ; ; ; ; ;214303/Banco Aracredi;149086,51;
 ; ; ; ; ; ; ; ; ;214305/Banco Safra;84983,18;
 ; ; ; ; ; ; ; ; ;312107/Chargeback;0;
 ; ; ; ; ; ; ; ; ;313102/Descontos Obtidos;0,5;
 ; ; ; ; ; ; ; ; ;313107/Desc Obt - Acordos Comerciais;0;
 ; ; ; ; ; ; ; ; ;321255/( - ) Bonificações;0,24;
 ; ; ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0;
 ; ; ; ; ; ; ; ; ;331305/Multas Dedutíveis;0;
 ; ; ; ; ; ; ; ; ;332615/Taxas Ifood;982,27;
 ; ; ; ; ; ; ; ; ;332707/Doações;2235,74;
 ; ; ; ; ; ; ; ; ;333101/Juros Pagos;0,06;
 ; ; ; ; ; ; ; ; ;333102/Desc. Concedidos;345,83;
 ; ; ; ; ; ; ; ; ;333107/IOF;3164,16;
 ; ; ; ; ; ; ; ; ;333108/Tarifas Bancárias;3165,69;
 ; ; ; ; ; ; ; ; ;333109/Taxas adm Cartoes;136495,13;
 ; ; ; ; ; ; ; ; ;333111/Tarifa s/ Cobrança;6,08;
 ; ; ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;2325,54;
 ; ; ; ; ; ; ; ; ;333117/Juros Empr/Financ;27240,05;
 ; ; ; ; ; ; ; ; ;333120/Tarifa  Alelo Ali;77,4;
 ; ; ; ; ; ; ; ; ;333124/Tarifa - Sodexo Alim;117,31;
 ; ; ; ; ; ; ; ; ;333125/Tarifa - Ticket Alim;1191,38;
 ; ; ; ; ; ; ; ; ;333127/ Tarifa Debito - Alelo Refeição;0,9;
 ; ; ; ; ; ; ; ; ;333128/Tarifa- VR Benef;625,06;
 ; ; ; ; ; ; ; ; ;333129/Tarifa - Sodexo Ref;47,45;
 ; ; ; ; ; ; ; ; ;333130/Tarifa- Sodexo Premium;0;
 ; ; ; ; ; ; ; ; ;333131/Tarifa - AMEX;0;
 ; ; ; ; ; ; ; ; ;333133/Tarifa Credito - Cabal;0;
 ; ; ; ; ; ; ; ; ;333134/ Tarifa GoodCard;20,91;
 ; ; ; ; ; ; ; ; ;333135/Tarifa Cred System;7;
 ; ; ; ; ; ; ; ; ;333136/Tarifa - ECX Card;0;
 ; ; ; ; ; ; ; ; ;333139/Tarifa- Mastercard;0;
 ; ; ; ; ; ; ; ; ;333141/Tarifa - Vale Card;585,13;
 ; ; ; ; ; ; ; ; ;333143/Tarifa- Policard;0;
 ; ; ; ; ; ; ; ; ;333148/Tarifa -UP Brasil;649,5;
 ; ; ; ; ; ; ; ; ;333149/Anuidade C Cred;7177,04;
 ; ; ; ; ; ; ; ; ;333153/Tarifa - Sodexo Gift;43,6;
 ; ; ; ; ; ; ; ; ;333154/Tarifa T.r.;323,48;
 ; ; ; ; ; ; ; ; ;333155/Tarifa Ticket Flex;66,09;
 ; ; ; ; ; ; ; ; ;333156/Tarifa - Ben Visa;7,7;
 ; ; ; ; ; ; ; ; ;333157/Tarifa - PIX;0;
 ; ; ; ; ; ; ; ; ;333158/Tarifa -Green Card Ref;0;
 ; ; ; ; ; ; ; ; ;333160/Tarifa - Green Card - Alimentação;0;
 ; ; ; ; ; ; ; ; ;333206/Perdas c/ Créditos Incobráveis;0;
 ; ; ; ; ; ; ; ; ;333211/Falta de Cx ñ Cobrada;1,14;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;340771,21;
 ; ; ; ; ; ; ; ; ; ;14129864,34;
 ; ; ; ; ; ; ; ; ; ;201492,01;
 ; ; ; ; ; ; ; ; ; ;0;
 ; ; ; ; ; ; ; ; ; ;14672127,56;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ; ; ; ; ; ; ; ; ;;
