Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Abril/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112330/Debito - Sodexo Refeição Pass;37.358,48;112383/Debito - Ben Vale Alim;0;
 ; ; ; ; ; ; ;112331/Débito - Sodexo Premium Pass;0,00;112386/Debito-Green Card - Alimentação;0;
 ; ; ; ; ; ; ;112350/Credito - American Express - AMEX;29.411,04;112398/Pic Pay;0;
 ; ; ; ; ; ; ;112351/Credito - Hipercard;0,00;112399/POS;0;
 ; ; ; ; ; ; ;112352/Credito - Cabal;383,01;112417/Credito - Sysprocard;0;
 ; ; ; ; ; ; ;112353/Credito-GoodCard;0,00;112501/Cheque AV;16922,73;
 ; ; ; ; ; ; ;112357/Credito - Elo;375.410,09;112502/Cheque Pre;55968,5;
 ; ; ; ; ; ; ;112358/Debito - Elo Voucher;0,00;112503/Cheque devolvido;1819,27;
 ; ; ; ; ; ; ;112359/Credito - Elo Voucher;0,00;112703/ Devolução de Mercadoria a Receber - RCM;11723,6;
 ; ; ; ; ; ; ;112361/Credito - Mastercard;2.592.803,23;112707/Creditos Trocas em Cobrança;0;
 ; ; ; ; ; ; ;112372/Credito - Visa;1.615.328,09;112985/IRRF a Compensar;1958,37;
 ; ; ; ; ; ; ;112373/Credito - Vale Card;37.498,38;127201/Partic em Outras Sociedades;150;
 ; ; ; ; ; ; ;112375/Credito - Policard/Up Brasil;59.132,57;127203/Aracredi Banco Cooperativa Ltda;0;
 ; ; ; ; ; ; ;112379/Credito - Tricard;56.178,13;211101/Fornec. p/ Revenda;11265208,2;
 ; ; ; ; ; ; ;112380/Debito -VR ref;17.380,09;211102/Fornec p/ Consumo;158595,92;
 ; ; ; ; ; ; ;112381/Debito - Cabal;8.020,18;211103/Fornec de Serviços;375004,22;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;507,36;211104/Faturas a Pagar;154383,95;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;296,37;211105/Fretes a Pagar;171,38;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;1.100,44;211109/Fornecedor de Investimento;989,08;
 ; ; ; ; ; ; ;112398/Pic Pay;820,51;211110/Fornec desp gerais;9293;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;3.113,83;211201/Obrig Imobilizado;1156875,19;
 ; ; ; ; ; ; ;112501/Cheque AV;21.718,65;211301/Salários e Ordenado;500728,44;
 ; ; ; ; ; ; ;112502/Cheque Pre;123.348,88;211302/Férias a Pagar;41542,46;
 ; ; ; ; ; ; ;112503/Cheque devolvido;869,69;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;1.078.267,93;211304/Verbas Resc a Pagar;36229,46;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;41.318,64;211305/Sindicatos a Pagar;736,2;
 ; ; ; ; ; ; ;112703/Devolução RCM;46.881,70;211306/Pensão Alimentícia;3018;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;6,08;211307/Adiant a Func;232559,7;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;46.231,54;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;1000;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;700,94;211501/ICMS a Recolher;252517,5;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;1.784,21;211502/PIS a Recolher;31740,43;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;146404,74;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;343015,75;
 ; ; ; ; ; ; ;112801/Adto Funcionários;0,00;211505/FGTS a Pagar;76214,2;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;41990,83;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;3.579,82;211507/CSLL a Pagar;15836,7;
 ; ; ; ; ; ; ;112949/Outras CR;528,38;211508/IPTU a Pagar;0;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;4371,51;
 ; ; ; ; ; ; ;112953/Adto Clientes;15.957,29;211511/Multas a Pagar;0;
 ; ; ; ; ; ; ;121953/Depósitos Judiciais - LP;0,00;211512/Multas Trabalhistas;12163,05;
 ; ; ; ; ; ; ;211902/Contra Vale a Pagar;0,00;211513/ICMS ST à Recolher;7268,93;
 ; ; ; ; ; ; ;211910/Multi Facil - Recarga de celular;0,00;211550/Fornec Tribut a Rec;0;
 ; ; ; ; ; ; ;211911/Corresp. Bancário;0,00;211601/Funrural a Recolher;4980,81;
 ; ; ; ; ; ; ;211925/Acordos Com a Apropriar;0,00;211602/IRRF a Recolher;14402,55;
 ; ; ; ; ; ; ;211945/Cheques P/Pgto.;16.171,75;211603/ISSQN a Recolher;495,78;
 ; ; ; ; ; ; ;211946/Outras Contas a Pagar;0,00;211604/Pis/Cofins/Csll a Recolher;2046,78;
 ; ; ; ; ; ; ;214304( - ) Juros  Aracredi;11.514,69;211605/INSS Retido a Recolher;2726,88;
 ; ; ; ; ; ; ;214306( - ) Juros Safra;20.112,54;211901/Devolução de Vendas a Pagar;14964,25;
 ; ; ; ; ; ; ;313101/Juros Recebidos;2.255,80;211902/Contra Vale a Pagar;351,51;
 ; ; ; ; ; ; ;313102/Descontos Obtidos;6.809,65;211903/Adiant. de Clientes;14913,57;
 ; ; ; ; ; ; ;313105/Rend. Aplic. Financeira;15.324,16;211905/Créd Trocas/Boni Inden;11851,16;
 ; ; ; ; ; ; ;313106/Bônus Correspondente Bancário;60,45;211910/Multi Facil - Recarga de celular;0;
 ; ; ; ; ; ; ;313203/Receitas Eventuais;0,30;211911/Corresp. Bancário;46371,15;
 ; ; ; ; ; ; ;313204/Sobra de Cx Fech;0,00;211913/Alugueis a Pagar;447911,05;
 ; ; ; ; ; ; ;313206/Acordo Comerc - Verbas;39.497,98;211914/Convênios Terceiros - Folha de Pagamento;51686,19;
 ; ; ; ; ; ; ;313208/Ganho Recarga;382,97;211915/Vale - Cesta Alimentação;0;
 ; ; ; ; ; ; ;313209/SOBRA CEASA;0,00;211916/Repasse Recarga de celular;11728;
 ; ; ; ; ; ; ;331110/Encargos Sociais - INSS;0,91;211917/Vale Cesta - Consolidado;0;
 ; ; ; ; ; ; ;331413/Sistemas Monitorados;230,11;211920/Adiant. a Fornecedor;45691,83;
 ; ; ; ; ; ; ;333101/Juros Pagos;0,00;211921/Bonificações a Apropriar;3479,95;
 ; ; ; ; ; ; ;333102/Descontos Concedidos;0,00;211925/Acordos Comerciais a Apropriar;39497,98;
 ; ; ; ; ; ; ;333108/ Tarifas Bancárias;0,00;211930/Depositos Judiciais de Terceiros a pagar;0;
 ; ; ; ; ; ; ;333109/Taxas adm Cartoes;0,00;211940/Distrib de Lucro Sócios;76185,17;
 ; ; ; ; ; ; ;333114/Aluguel de P.O.S.;0,00;211945/Cheq Pré P/ Pagam;25810,59;
 ; ; ; ; ; ; ;333206/Perdas s/ Créditos;0,00;211946/Outras Contas Pagar;1152,07;
