Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Dezembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;160913,25;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;127,56;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;958,81;211109/Fornecedor de Investimento;57379,14;
 ; ; ; ; ; ; ;112398/Pic Pay;567,76;211110/Fornec desp gerais;29410,3;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;2.694,95;211201/Obrig Imobilizado;75888;
 ; ; ; ; ; ; ;112501/Cheque AV;27.864,19;211301/Salários e Ordenado;880475,4;
 ; ; ; ; ; ; ;112502/Cheque Pre;113.660,27;211302/Férias a Pagar;6579,66;
 ; ; ; ; ; ; ;112503/Cheque devolvido;0,00;211303/ 13º Salário a Pagar;0;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;51.871,11;211304/Verbas Resc a Pagar;54641,71;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;62.808,56;211305/Sindicatos a Pagar;240,65;
 ; ; ; ; ; ; ;112703/Devolução RCM;51.062,43;211306/Pensão Alimentícia;3427,86;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;623,32;211307/Adiant a Func;239204,08;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;27.490,88;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;61187,01;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;211552,45;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;48.166,03;211502/PIS a Recolher;29261,78;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;135010,51;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;692481,28;
 ; ; ; ; ; ; ;112801/Adto Funcionários;2.000,00;211505/FGTS a Pagar;116541,11;
 ; ; ; ; ; ; ;112802/Antecipacao de Férias;0,00;211506/IRPJ a Pagar;29591,33;
 ; ; ; ; ; ; ;112807/Quebra de Caixa;6.747,19;211507/CSLL a Pagar;11372,88;
 ; ; ; ; ; ; ;112949/Outras CR;229,52;211508/IPTU a Pagar;2737,53;
 ; ; ; ; ; ; ;112952/Adto Clientes;0,00;211509/IPVA a Pagar;0;
