Financeiro - Controladoria Financeira- Monica;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
Unidades:Supermercado;Periodicidade:Mensal;Período:Novembro/2025;;;;;;;;;
 ; ; ; ; ; ; ; ; ; ;;
 ; ;Movimentação Geral;VALOR;P(%); ;Resumo;Movimentação; ; ;;
 ; ; ; ; ; ; ;112382/Debito- Ben Vale Refeição;0,00;211104/Faturas a Pagar;154147,79;
 ; ; ; ; ; ; ;112383/Debito - Ben Vale Alim;0,00;211105/Fretes a Pagar;13,99;
 ; ; ; ; ; ; ;112386/Debito-Green Card - Alimentação;211,34;211109/Fornecedor de Investimento;9631,28;
 ; ; ; ; ; ; ;112398/Pic Pay;674,39;211110/Fornec desp gerais;24394,1;
 ; ; ; ; ; ; ;112417/Credito - Sysprocard;3.472,17;211201/Obrig Imobilizado;47417,55;
 ; ; ; ; ; ; ;112501/Cheque AV;26.994,32;211301/Salários e Ordenado;468822,08;
 ; ; ; ; ; ; ;112502/Cheque Pre;116.775,17;211302/Férias a Pagar;64922,42;
 ; ; ; ; ; ; ;112503/Cheque devolvido;2.988,49;211303/ 13º Salário a Pagar;396189,08;
 ; ; ; ; ; ; ;112701/Adiant. a Fornec.;2.923,58;211304/Verbas Resc a Pagar;79020,88;
 ; ; ; ; ; ; ;112702/Acordo Comercial-verbas;16.616,48;211305/Sindicatos a Pagar;240,65;
 ; ; ; ; ; ; ;112703/Devolução RCM;37.148,55;211306/Pensão Alimentícia;2410,8;
 ; ; ; ; ; ; ;112706/Trocas A Indenizar;459,12;211307/Adiant a Func;220517,05;
 ; ; ; ; ; ; ;112707/Trocas em cobrança;19.004,63;211309/Adto 13º Salário;0;
 ; ; ; ; ; ; ;112710/Acordo Comercial-reduz;0,00;211410/Outras Obrig Trabal a Pagar;51499,47;
 ; ; ; ; ; ; ;112711/Acordo Descontos Obt;0,00;211501/ICMS a Recolher;217056,88;
 ; ; ; ; ; ; ;112713/ Acordos Bonificação;130.748,88;211502/PIS a Recolher;29209,79;
 ; ; ; ; ; ; ;112714/Sell Out;0,00;211503/COFINS a Recolher;134765,6;
 ; ; ; ; ; ; ;112799/Cred c/ Fornecedores;0,00;211504/INSS a Recolher;364257,72;
